Question Text,Question Type,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer
"'Phong trào Đông Kinh Nghĩa Thục thuộc khuynh hướng nào trong các khuynh hướng sau?",Multiple Choice,"'Phong trào yêu nước theo khuynh hướng Cần Vương.","'Phong trào yêu nước theo khuynh hướng phong kiến.","'Phong trào yêu nước theo khuynh hướng dân chủ tư sản.","'Phong trào yêu nước theo khuynh hướng vô sản.",,3
"'Phong trào do Phan Bội Châu khởi xướng thuộc khuynh hướng nào trong các khuynh hướng sau?",Multiple Choice,"'Phong trào yêu nước theo khuynh hướng Cần Vương.","'Phong trào yêu nước theo khuynh hướng phong kiến.","'Phong trào yêu nước theo khuynh hướng dân chủ tư sản.","'Phong trào yêu nước theo khuynh hướng vô sản.",,3
"'Thời gian diễn ra cuộc khai thác thuộc địa lần thứ nhất của thực dân Pháp ở Việt Nam?",Multiple Choice,"'1897 - 1914.","'1884 - 1914.","'1858 - 1914.","'1873 - 1914.",,1
"'Phong trào do Việt Nam Quốc dân Đảng khởi xướng thuộc khuynh hướng nào trong các khuynh hướng sau?",Multiple Choice,"'Phong trào yêu nước theo khuynh hướng Cần Vương.","'Phong trào yêu nước theo khuynh hướng phong kiến.","'Phong trào yêu nước theo khuynh hướng dân chủ tư sản.","'Phong trào yêu nước theo khuynh hướng vô sản.",,3
"'Trong những điểm sau đây nói về “hoàn cảnh quốc tế cuối thế kỷ XIX đầu thế kỷ XX đã tác động đến sự ra đời của Đảng Cộng sản Việt Nam”, điểm tác động nào nói đến ảnh hưởng của chủ nghĩa Mác - Lênin?",Multiple Choice,"'Mâu thuẫn giữa dân tộc thuộc địa với chủ nghĩa đế quốc.","'Chủ nghĩa Mác - Lênin đã lay chuyển lôi cuốn quần chúng nhân dân và những phần tử ưu tú tích cực ở các nước thuộc địa vào phong trào cộng sản.","'Cách mạng Tháng Mười Nga như một trong các động lực thúc đẩy sự ra đời của nhiều Đảng Cộng sản.","'Cách mạng Việt Nam lâm vào tình trạng khủng hoảng sâu sắc về đường lối, về giai cấp lãnh đạo.",,2
"'Bản hiệp ước cuối cùng mà triều đình nhà Nguyễn kí với thực dân Pháp, chính thức biến Việt Nam thành thuộc địa nửa phong kiến là:",Multiple Choice,"'Pa tơ nốt.","'Hác Măng.","'Trùng Khánh.","'Hiệp ước năm 1873.",,1
"'Trong cuộc khai thác thuộc địa lần thứ nhất của thực dân Pháp, giai cấp nào mới được hình thành?",Multiple Choice,"'Giai cấp nông dân.","'Giai cấp đia chủ.","'Giai cấp nông dân và địa chủ.","'Giai cấp công nhân.",,4
"'Thực dân Pháp xâm lược Việt Nam vào thời gian nào?",Multiple Choice,"'1858.","'1859.","'1860.","'1861.",,1
"'Trong những điểm sau đây nói về chính sách cai trị của thực dân Pháp, điểm nào thuộc về chính sách kinh tế?",Multiple Choice,"'Chia Việt Nam ra thành ba xứ để cai trị: Bắc Kỳ, Trung Kỳ, Nam Kỳ.","'Chính sách khai thác thuộc địa.","'Thực hiện chính sách dung túng, duy trì các hủ tục lạc hậu trong nhân dân ta.","'Thực hiện khẩu hiệu: Tự do, bình đẳng, bác ái ở nước ta.",,2
"'Đại hội Đảng Cộng sản Đông Dương lần thứ nhất bầu đồng chí nào làm Tổng bí thư?",Multiple Choice,"'Hà Huy Tập.","'Trần Phú.","'Lê Hồng Phong.","'Trường Chinh.",,3
